Column1,Column2,Column3,Column4
1116,Does anyone have any thoughts on why this might be,3,137358
1117,I thought it might be a coding issue but that seems to be fine,0,137358
1118,The bank account statements match correctly,0,137358
1119,Any help would be greatly appreciated,4,137358
1120,ThanksAndy,4,137358
1121,Hi teamCan you please advise whether we need to Do a monthly accrual journal for the employer kiwisaver contribution say 3 on top of the monthly holiday pay accrual journal,3,138085
1122,Many thanksBharat,4,138085
1123,Im doing a work around for expense claims,0,128401
1124,I want to import a bill that is on a csv file,0,128401
1125,It has several receipts some of which have different tax rates and all of which will be in different accounts,0,128401
1126,Its not clear how to do this when you import a bill using a csv file,1,128401
1127,Thanks,4,128401
1128,Hi allIm in Canada and my business is able to file GST using the quick method,0,125442
1129,In short this method is designed to reduce administrative work for small businesses and allows them to pay GST calculated using an approximation of tax owed based on sales rather than based on the actual amount collectedpaid,0,125442
1130,So for example I have a sales tax account that says I owe the government 1000 but the quick method means I only actually owe them 900,0,125442
1131,How can I make an adjustment to my accounts to show that my sales tax owing has reduced by 100,3,125442
1132,I tried to do a manual journal but that doesnt work as a manual journal must have equal credits and debits,0,125442
1133,ThanksPeter,4,125442
1134,We have a client who uses Farmlands pre the merger of the the 2 firms,0,127243
1135,Can we set up in Xero Using the CRT CoOp bank feeds form,3,127243
1136,When sending out payslips to clients is it possible to add a second email address CCd that is copied in on each email we have had a few instances where we have sent Payslips to our clients from Xero and they have confirmed none receipt,3,133500
1137,If we cant add the option of a ccd email address is it possible to utilise a function that is available for invoices when completed  status is shown as sent and then viewed,3,133500
1138,HiWe are a high volume store that processes over a hundred transactions per day,0,128766
1139,The amount that are paid via EFTPOS show up in the bank as a single transaction one for each EFTPOS machine,0,128766
1140,Obviously banked cash shows up as a single deposit,0,128766
1141,The problem is I want to be able to enter sales separated by department of the store as our expenses are recorded,1,128766
1142,The way we did this with Reckon was an EFT Clearing account and an Undeposited Funds account which we then entered a manual journal weekly that credited Sales accounts and debited these two clearing accounts,0,128766
1143,When the money hit the bank this was credited as coming from these clearing accounts,0,128766
1144,I was wondering if there was a better way of doing this in Xero as it is a lot of manual data entry every week for every store,3,128766
1145,Thanks for your input,4,128766
1146,Jonathon,4,128766
1147,I know that this has likely been asked elsewhere but I am curious to know whether or not sales invoices and purchase invoices can be partly autofilled based on previous entries,3,127873
1148,And if this is possible can this feature be switched on and off,3,127873
1149,Thanks,4,127873
1150,Why not have as a standard tax code Purchases for private use or not income tax deductible,3,125842
1151,This would allow entertainment expenses and motor vehicle private use for example to be set to this tax code thereby automatically populating G15,0,125842
1152,Also note the word deductible is currently spelt incorrectly on Xeros GST Calc Wsheet,0,125842
1153,If you are a user of Xero and Tanda tell us how you are getting on and your experience so far,0,138792
1154,Any tips,3,138792
1155,Pay staff correctly for the time they work,0,138792
1156,Manage rostering time clock attendance  award interpretation with Xero payroll,0,138792
1157,Get the most from your workforce,0,138792
1158,For more information check out ,0,138792
1159,Hi allJust wondering how I would generate a report for sales that lists the marketing link we have put in,3,128408
1160,Eg I want to see what Marketing Produced ho much sales,0,128408
1161,I have already been entering the Marketing option in all invoices,0,128408
1162,Thanks in advance for you help,4,128408
1163,Hope,4,128408
1164,Im just getting started with Xero and have a few questions,0,126708
1165,I converted my books from Quickbooks,0,126708
1166,1  How is the statement balance calculated in Xero,3,126708
1167,My Xero balance is spot on with my bank account but the statement balance is some number that has never been a statement ending balance or a daily balance in my checking account,1,126708
1168,I tried following the steps if the two balances dont match but nothing has worked ,0,126708
1169,I figure if I understand how it comes up with it I may be able to tweak some things,0,126708
1170,2  Reconciliation seems to encompass much more than Im used to,0,126708
1171,To me a reconciliation is when you match all your entered transactions with an end of month statement to make sure you have entered everything correctly,0,126708
1172,I dont see a way to do this in Xero,1,126708
1173,Xero seems to only reconcile transactions with daily downloads from the bank,1,126708
1174,Is there a way to reconcile with a bank statement as well,3,126708
1175,If you are a user of Movemybooks tell us how you are getting on and your experience so far,0,138786
1176,Any tips,3,138786
1177,Sage  Quickbooks to Xero data conversions  the quickest and easiest way to get your clients moved to Xero by UK software version specialists check out ,0,138786
1178,Employees listed by surname first not Christian name,1,133921
1179,It would be useful if the customised dates chosen in Settings were picked up when generating statements,0,136143
1180,At the moment the due date functionality is only active in generating invoices,1,136143
1181,I am looking for a fast and easy way to pay a 1099 contractor on a monthly basis,3,137635
1182,Our company partnered with an artist to create an app and I am looking for a simple way to pay the artist their share of app sales every month,0,137635
1183,It would be really nice if it could be run with the payroll since I already do that on a monthly basis,0,137635
1184,Thank you,4,137635
1185,If you are a user of Xero and iKentoo tell us how you are getting on and your experience so far,0,138261
1186,Any tips,3,138261
1187,iKentoo is an enterprise iPad based hospitality POS which links seamlessly to Xero and is trusted by over 3000 restaurants and bars worldwide,0,138261
1188,For more information check out ,0,138261
1189,If you are a user of Xero and Hubdoc tell us how you are getting on and your experience so far,0,138592
1190,Any tips,3,138592
1191,Paperwork on autopilot,0,138592
1192,Receipts bills and statements  all in one place  automatically synced to Xero,0,138592
1193,For more information check out ,0,138592
1194,Hi allI would like to record all outbound payments within Xero,0,125276
1195,I was hoping to record payments in Xero as and when we pay by bacs or card payment over the phone,0,125276
1196,This works fine when we have been invoiced,0,125276
1197,However we are on proforma invoicing with some of our suppliers,0,125276
1198,In these instances we tend to pay the proforma await the invoice before processing into Xero,0,125276
1199,We then spend too long allocating payments as there can be a time before the invoice ends up in Xero,1,125276
1200,I envisaged some sort of merging proforma and invoice together but I dont really know what is the correct practice with managing these types of transactions,0,125276
1201,Any help would be much appreciated,4,125276
1202,ThanksRichard,4,125276
1203,Bought 100 Widgets at 10 each on credit card 1 created a bill for 1000Upon inspection 10 widgets were damaged and returned to the supplier,0,125999
1204,They issued a refund to a different credit card,0,125999
1205,Credit card 1 shows 1000 expense Credit card 2 shows 100 incomeI discovered a Bill couldnt be used for a negative value,0,125999
1206,I understand that a credit note can be created but since the inventory has been reduced already I think applying the credit note might not work,3,125999
1207,Wondering if an invoice for the 10 widgets with a credit note is the answer,3,125999
1208,Or just an invoice,3,125999
1209,Or something else entirely,3,125999
1210,Thanks in advance for any ideas,4,125999
1211,HelloStill getting to grips with Xero,0,126919
1212,I am doing my my first pay run and the PAYE Employee NIC and Employer NIC have correctly deducted from the final amount in Step 2 Enter Employee Payments however when clicking through to Step 3 Review they are  as Other payments,1,126919
1213,I have tried changing options but have had no success yet,0,126919
1214,I have classed the 3 pay items above as paid to a contact I created called HMRC  is this correct,3,126919
1215,Any help appreciated,4,126919
1216,My business fixes turf machinery like mowers ect and we carry a lot of stock eg bearings belts ect We need a simple barcoding system that we scan when it arrives and then scans when weve used it and transfers the data to Xero,0,138948
1217,Weve tried stuff like Dear and Unlimited and it just doesnt work,1,138948
1218,Open to suggestions,4,138948
1219,Where can you view the postings of the payroll journal,3,138016
1220,i have an employee who is over the age limit for super and now suddenly its telling me i have to pay them,1,137349
1221,I have a new client that has been using Xero for over a year,0,125316
1222,He has some old unmatched bank transactions from a previous year  so irrelevant  and wants them to just go away,0,125316
1223,Could someone please explain how to delete them,3,125316
1224,Thank you,4,125316
1225,Hi Im setting this up for the first time today,0,136557
1226,Ive chosen my conversion date to be 1113 so I can start the new year off correctly,0,136557
1227,Now Im confused because Im setting up my bank feed and Im being asked to choose which transactions to import  all available or starting on a certain date,1,136557
1228,Is it wrong to import transactions before Jan 1,3,136557
1229,Thanks,4,136557
1230,One of our employees has accrued excessive leave,0,137276
1231,The Accrual issue is sorted but now i need to remove the excess accrued hours from their leave balance but I cannot figure out how to do this,1,137276
1232,Thanks,4,137276
1233,HiLooking for recommendations for a POS system that sends sales to Xero from my clients cash register in his shop,0,138841
1234,My client sells pet foods so has different tax rates and needs to identify these for VAT purposes,0,138841
1235,Currently my client has a POS system that scans the barcode of the goods and feeds these direct to sage,0,138841
1236,Ideal is to have something very similar to this so as not to disrupt their business unnecessarily,0,138841
1237,Working in both the UK and Ireland we have staff i both locations,0,133559
1238,The full payroll features for the UK should be extended to included using Xero within Ireland,1,133559
1239,We have a client who sends a fixed price purchase order which is then used for a quarter,0,126417
1240,Is there a way to track how much of a clients PO has been billed through Xero,3,126417
1241,I was looking at the quote feature but not sure how this would fit the bill,1,126417
1242,I have a private loan registered under 900 ï¿½ Loan in the chart of accounts,0,126047
1243,Theres no interest on the loan,0,126047
1244,Question 1Company capital from loan,0,126047
1245,One part of this loan is to pay a thirdparty to set up the company,0,126047
1246,The other part lets say 50 to keep it simple is capital to be put into the company,0,126047
1247,Should this be registered in conversion balances under 881  Owner A Funds Introduced,3,126047
1248,Question 2Paying back the loan,0,126047
1249,I would like to budget a payback of the loan over X number of months but Im unsure where to put it,1,126047
1250,Im going over the Overall budget but I cant seem to find any sensible place to budget for the payback,1,126047
1251,Thank you so much in advance for your kind help,4,126047
1252,Hi communityIm new to Xero and very much new to accounting as well oh the joys,0,136009
1253,I have setup my PayPal feed and it has imported all the transaction lines correctly,0,136009
1254,However the transaction lines pull in the gross value which excludes the paypal fees,1,136009
1255,How do i show that i have had a fee on certain transactions in Xero,3,136009
1256,What i done on my previous system was every month tally up the paypal fees and add an entry of that value,0,136009
1257,What is recommended,3,136009
1258,Hi everyoneI appreciate that this basic question might be beyond the scope of the forum but Im trying to inform HMRC of the fact that this is the end of year PAYE submission,0,125493
1259,Theres a KB article on the Xero site which in turn sends me to a YouTube video from the HMRC about ticking a box on a page in the HMRC portal to tell them that the most recent submission was the last of the year but I cant see that anywhere,1,125493
1260,Given that the video is a bit old am I to assume that Xero will inform HMRC that this PAYE submission is the last of the year,3,125493
1261,Im confused as to how that last piece of the puzzle works,0,125493
1262,Ive done my PAYE reconciling and worked through the list of check points in the Xero article,0,125493
1263,Theres only me on the payroll so I cant imagine that anything can go too wrong,0,125493
1264,ThanksOlly,4,125493
1265,Good morningI wanted to give some feedback on one of the connected apps Veeqo,0,138890
1266,This is an inventory management company and having investigated all of the apps this one came out the best for price and features,0,138890
1267,Unfortunately Veeqo is massively let down by the lack of customer service and knowledge that the staff have,1,138890
1268,We have had many issues since we started to use Veeqo and these have been addressed by the staff,0,138890
1269,However it is incredibly time consuming to get a response impossible to speak to someone by phone and became evident that although we went through several induction sessions to discuss the workings of our business Veeqo had not understood our requirements,0,138890
1270,The planned meetings we had with various members of staff were regularly late commencing and on occasion did not happen at all,1,138890
1271,The response to this was These thing happen in businessFinally when I tried to submit a complaint it proved impossible to speak to a manger and after over a week of constant emails from us we finally receive a response that accepts no responsibility and no solution,0,138890
1272,I have worked with many Xero connected apps and as a rule they have all been successful the companies have been helpful and staff incredibly knowledgeable and forthcoming,0,138890
1273,Most importantly I have always been able to get hold of someone if there have been any issues,0,138890
1274,We have now moved to a new Inventory control system slightly more expensive and have already seen a massive improvement in service,0,138890
1275,I am positive as with most things people have had positive experiences with Veeqo however I wanted to provide feedback for anyone else who is looking for an Inventory add on,0,138890
1276,Thanks,4,138890
1277,HelloAs my employees do not know the business nor my twelve month plan,0,137507
1278,I prefer that a face to face discussion with myself takes place in the future in regards putting in for leave,0,137507
1279,Once we have agreed and discussed all the pros and cons then I would like to enter it in to the Leave section,0,137507
1280,At the moment It has given them to much control to discuss and organise their lives around each other without knowing any fundamentals of what is expected at those times of the business and without and consultation,1,137507
1281,Way to much chit chat already about the Easter break,1,137507
1282,After the fact puts me in an awkward situation and it was never like that until these portals arrived,0,137507
1283,I would like pop up options for admin that has a block effect in this case,0,137507
1284,That says Your employer ass per company policy will need to speak to you before holidayLeave entry times are requested,0,137507
1285,Thank you Fabian,4,137507
1286,In California  and perhaps other states  goods which are purchased for resale are exempt from Sales Tax on that purchase,0,126360
1287,However some vendors charge tax at the time of sale because they arent set up to handle resale customers,0,126360
1288,In this case the sales taxes paid on goods for resale may be used as an offset against sales tax liability the forwarding of sales taxes collected on goods sold to the taxing authority,0,126360
1289,How should I set up Xero so when I pay sales taxes on goods purchased for resale I can see those amounts on my sales tax report and properly deduct them from my sales tax liability,3,126360
1290,We are considering using Xero as a replacement for our existing bespoke system,0,128513
1291,The guidelines suggest Xero is suitable for 200500 invoice per month,0,128513
1292,Has anybody any experience of posting more invoices and what happens,3,128513
1293,Hi all I have two basic questions that I was unable to locate in a search,0,125471
1294,1 When importing goods from overseas I am reconciling the transaction at this point without GST,0,125471
1295,Do I record this as No Tax or Tax Exclusive,3,125471
1296,2 I am paying the GST as the goods arrive into NZ customs thus there is a separate transaction for the GST alone,0,125471
1297,How do I reconcile this,3,125471
1298,Can I reconcile this as the 820 GST Liability,3,125471
1299,Thanks in advance from a small business owner ,4,125471
1300,How do I split or apportion depreciation expense over various teams using the AutoDepreciate feature in the FAR,3,127153
1301,It seems you can only allocate one team when setting up the asset in the FAR,0,127153
1302,Xero has not been prompting for any payroll tax because my scorp has not paid any payroll this year yet to its employee myself self employed,0,128193
1303,I am in state of Virginia USA,0,128193
1304,Do I need to file a form pay business state and federal income tax on a quarterlymonthly basis for what my corporation has been generating income every month,3,128193
1305,Or will it be due annually when filed if owed,3,128193
1306,A client of mine has been using the new discount feature on sales invoices which is a really handy feature the problem is that the discount does not appear in the standard docx template,1,136590
1307,We have not modified this template in any way so I would have expected this to show up as a line item somewhere,0,136590
1308,Discounts do show up on the regular non docx branding theme,0,136590
1309,Am I missing something or do Xero need to modify their docx documents to present discounting,3,136590
1310,Many thanksSean,4,136590
1311,I am trying to find a way to separate the invoices and packing slips so that when I use Print PDF it prints both but when I email I can just email the invoice and not the packing slip,1,128792
1312,I am getting some confused customers wondering why they get a copy of the packing slip everytime I email the invoice,0,128792
1313,Hi thereWe have some staff paid monthly and one staff member in particular has a few leave requests throughout the month,0,137363
1314,Each leave period shows as a separate line on his payslip,0,137363
1315,The payslip looks messy with the multiple leave lines with nothing to differentiate them apart from the number of hours taken and even some of those figures are the same,1,137363
1316,Is there a way to just make it show as one line or to get details of the leave dates added,3,137363
1317,ThanksCandice,4,137363
1318,Hello everyoneWe have done our payroll on Xero for the first time in April 2015,0,137990
1319,We noticed that the Employment Allowance is not deducted from the PAYE due payable to HMRC automatically,1,137990
1320,Xero noted that we need to make a journal entry to be able to claim this,0,137990
1321,The relevant boxes have been ticked as required,0,137990
1322,How do we do this and how do we know the exact amount to be deducted,3,137990
1323,Any comments is greatly appreciated,4,137990
1324,Many kind regardsSylet,4,137990
1325,HiWhen renting our office we paid a security deposit,0,127493
1326,How do i record that in Xero so that we get reminded at the end of the lease to collect it,3,127493
1327,We would like to set up a control,0,127493
1328,Best,4,127493
1329,Hi thereWe have just migrated over to Xero from Free Agent and have noticed we have a tonne of sales invoices listed under our awaiting payment tab that arent marked as sent,0,135426
1330,However when I go into the invoice detail it says awaiting payment,1,135426
1331,Can I therefore assume that these HAVE been sent even though its not marked as such and that I dont need to resend these again,3,135426
1332,FYI these mainly seem to relate to recurring invoices,0,135426
1333,Ive also checked under history and notes section but its not listed here either,0,135426
1334,Any info gratefully received,4,135426
1335,If employees do not have hours in this payrun should I delete the timesheet for them before I process the payrun,3,137883
1336,If I leave them intact I havent input to them the pay run generates a small payment for them due to tax refund,1,137883
1337,In Sage I would have set these to On Hold this week,0,137883
1339,HiOur Employees like many other companies in Australia can accrue a maximum of 76 hours personal leave once they have reached the 76 we should be able to set a ceiling so it accrues no further,0,136911
1340,Resetting to 0 annually doesnt work as an employee who hasnt taken any time off is still entitled to their 76 hours,1,136911
1341,Example Jim has been working for Company A for 14 months he hasnt had any time off for personalcarers leave he gets sick and needs 3 days off so his personal leave balance should reflect 532 hours and start accruing again at the weekly rate of 14615 until it again reaches 76 hours,0,136911
1342,Without a ceiling the accrual is not reflective of actual entitlements and we need to manually go back through the last 12 months for an employee and see how many hours they have taken and subtract that from amount accrued in that period and add the balance accrued before that period,1,136911
1343,Or we need to make a manual adjustment every week for employees who have reached the maximum,1,136911
1344,Its all very messy and could be easily fixed with a settable ceiling,0,136911
1345,HiMy inventory items dont show in bills,1,134413
1346,They show in invoices on the customer side and in the inventory list itself but theyre not available for use in bills  theres nothing there at all,1,134413
1347,Anyone got any ideas on this one please,3,134413
1348,RegardsDave,4,134413
1349,HelloMy client just change from MYOB to XERO but I am a new XEROS user so I am a bit confuse about how to manage some accounts,0,128373
1350,My client has 2 businesses and he pays bills from any of the businesses accounts so we are managing it as a intercompanies loans,0,128373
1351,In MYOB we had set up a credit car account for the intercompanies loan,0,128373
1352,When the company paid others company bills we did spend money from the bank account and increase the loan account balance,0,128373
1353,When the other companys paid an expense of this company then we transfer the money to the credit card and decrease the balance,0,128373
1354,When we received a payment in this account that was other companys service we did a receive money and decrease the balance,0,128373
1355,We did something similar with ATO Integrated account,0,128373
1356,We created a credit card account then spend money when we need to enter the GST PYG interest etc and transfer money when the payments were done,0,128373
1357,I was able to reconciled it with the ATO statements,0,128373
1358,Could I work in the same way in XERO or it looks as a messy books if the  credit card accounts are not reconciled in the Loan case,3,128373
1359,How best does one offset an equal debtor and creditor balance that is due tofrom the same entity,3,127746
1360,I want to sell a fixed asset to an entity at Net Book Value to a connected party,0,127746
1361,Having followed the help section this will raise a sales invoice  nil profit and raise a trade debtor,0,127746
1362,That same party will also bill me separately a management fee for the same amount,0,127746
1363,This means there will be no cash or VAT impact on either party,0,127746
1364,However it does leave me with a Trade Creditor and a Trade Debtor of equal amounts,1,127746
1365,How best do I offset these to keep my Xero accounts clean,3,127746
1366,As background info  Im winding down a company and want to clear out the balance sheet,0,127746
1367,httpscommunityxerocombusinessdiscussion37280114Kinda similar to this chapI too have only JUST started using Xero  and this is my first kinda of accounting software as Im VERY new to thisOk,0,134977
1368,Ive done my best to go through as much as possible on the software and Ive jumped on in and attempted to swim along,0,134977
